,network,station,channel,P,Pg,Pn,S,Sg,Sn,P_weight,Pg_weight,Pn_weight,S_weight,Sg_weight,Sn_weight,P_evaluation_mode,Pg_evaluation_mode,Pn_evaluation_mode,S_evaluation_mode,Sg_evaluation_mode,Sn_evaluation_mode,origin_time,origin_time_uncertainty,origin_latitude,origin_latitude_uncertainty,origin_longitude,origin_longitude_uncertainty,depth,depth_uncertainty,origin_ID,distance,azimuth,takeoff_angle
0,IU,PMSA,BH,NaN,NaN,NaN,NaN,NaN,2013-07-23T00:24:03.210000Z,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,manual,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,1.58948,186.614,50.3
1,IU,QSPA,BH,2013-07-23T00:28:55.630000Z,NaN,NaN,NaN,NaN,NaN,0.085,NaN,NaN,NaN,NaN,NaN,manual,NaN,NaN,NaN,NaN,NaN,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,27.0158,180.074,28.0
2,GE,SNAA,BH,2013-07-23T00:28:25.820000Z,NaN,NaN,NaN,NaN,NaN,0.448,NaN,NaN,NaN,NaN,NaN,manual,NaN,NaN,NaN,NaN,NaN,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,23.7106,136.652,28.5
3,IM,TOA1,BH,2013-07-23T00:36:18.810000Z,NaN,NaN,NaN,NaN,NaN,0.192,NaN,NaN,NaN,NaN,NaN,manual,NaN,NaN,NaN,NaN,NaN,2013-07-23T00:23:14.260000Z,0.93,-63.2026,0.0513,-63.6217,0.0231,10000.0,3100.0,c000irgm,90.9825,62.4167,14.0
4,AK,DHY,BH,NaN,NaN,NaN,NaN,NaN,2013-07-23T01:14:03.860000Z,NaN,NaN,NaN,NaN,NaN,0.018,NaN,NaN,NaN,NaN,NaN,manual,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.30115,353.833,50.4
5,AK,WRH,BH,NaN,NaN,NaN,NaN,NaN,2013-07-23T01:14:38.650000Z,NaN,NaN,NaN,NaN,NaN,0.009,NaN,NaN,NaN,NaN,NaN,manual,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,3.73409,351.597,50.3
6,AK,MLY,BH,NaN,NaN,NaN,NaN,NaN,2013-07-23T01:14:58.850000Z,NaN,NaN,NaN,NaN,NaN,0.006,NaN,NaN,NaN,NaN,NaN,manual,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,4.60913,338.897,50.3
7,AK,FID,BH,NaN,NaN,NaN,NaN,2013-07-23T01:13:05.350000Z,NaN,NaN,NaN,NaN,NaN,0.06,NaN,NaN,NaN,NaN,NaN,manual,NaN,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,0.134414,121.055,42.4
8,AK,PAX,BH,NaN,NaN,NaN,NaN,NaN,2013-07-23T01:14:02.460000Z,NaN,NaN,NaN,NaN,NaN,0.021,NaN,NaN,NaN,NaN,NaN,manual,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,2.27445,15.8932,50.4
9,AK,SCM,BH,NaN,NaN,NaN,NaN,2013-07-23T01:13:32.750000Z,NaN,NaN,NaN,NaN,NaN,0.033,NaN,NaN,NaN,NaN,NaN,manual,NaN,2013-07-23T01:12:59.270000Z,1.92,60.797,0.0333,-146.833,0.0162,16700.0,5900.0,20130723011259_60_-146,1.06689,347.239,82.1
